"28","00237","Алеково"
"28","00285","Александрово"
"13","00521","Аплаци"
"04","00583","Арбанаси"
"31","00730","Асеново"
"13","02110","Багалевци"
"13","02169","Бадевци"
"13","02191","Баевци"
"13","02213","Баждари"
"04","02364","Балван"
"31","02470","Балканци"
"13","02498","Балуци"
"22","02823","Батак"
"13","03054","Беброво"
"13","03232","Бейковци"
"04","03753","Белчевци"
"04","03798","Беляковец"
"13","03945","Берковци"
"04","04011","Бижовци"
"31","04282","Благоево"
"13","04460","Блъсковци"
"13","04652","Богданско"
"13","05164","Бойковци"
"04","05222","Бойчеви колиби"
"04","05240","Бойчовци"
"13","05709","Босевци"
"04","05935","Бочковци"
"04","06015","Бояновци"
"04","06118","Бранковци"
"13","06344","Брезово"
"13","06662","Бръчковци"
"31","06731","Бряговица"
"13","06896","Буйновци"
"04","06940","Буковец"
"22","07123","Бутово"
"28","07363","Българско Сливово"
"32","07661","Бяла река"
"22","07716","Бяла черква"
"13","07805","Бялковци"
"13","10063","Валето"
"28","10118","Вардим"
"04","10447","Велико Търново"
"13","10522","Велковци"
"04","10553","Велчево"
"13","10598","Велювци"
"13","10745","Веселина"
"04","10879","Ветринци"
"04","11065","Виларе"
"31","11140","Виноград"
"13","11274","Високовци"
"22","11380","Вишовград"
"31","11466","Владислав"
"31","11750","Водно"
"04","11795","Водолей"
"04","11898","Войнежа"
"04","12098","Вонеща вода"
"04","12396","Въглевци"
"13","12615","Вълчовци"
"13","12629","Вълчовци"
"06","12735","Върбица"
"22","12783","Върбовка"
"13","12855","Вързилковци"
"26","12869","Вързулица"
"04","12913","Върлинка"
"13","14088","Габрака"
"04","14235","Габровци"
"13","14430","Ганев дол"
"04","14578","Гащевци"
"13","15120","Глоговец"
"13","15391","Големани"
"04","15401","Големаните"
"04","16016","Горановци"
"04","16047","Горен Еневец"
"22","16290","Горна Липница"
"06","16359","Горна Оряховица"
"28","16393","Горна Студена"
"14","16417","Горна Хаджийска"
"13","16568","Горни край"
"13","16626","Горни Танчевци"
"13","17083","Горска"
"06","17107","Горски Горен Тръмбеш"
"06","17124","Горски Долен Тръмбеш"
"31","17155","Горски Сеновец"
"32","17192","Горско Калугерово"
"32","17208","Горско Косово"
"14","17213","Горско Ново село"
"14","17227","Горско Писарево"
"26","17467","Стефан Стамболово"
"13","17703","Граматици"
"13","18335","Гърдевци"
"13","20027","Давери"
"13","20081","Дайновци"
"04","20242","Дебелец"
"13","20268","Дебели рът"
"04","20434","Деветаците"
"14","20506","Дедина"
"14","20514","Дединци"
"14","20571","Делова махала"
"28","20630","Деляновци"
"04","20715","Дечковци"
"20","20835","Джулюница"
"04","21066","Димитровци"
"04","21110","Димовци"
"22","21138","Димча"
"04","21244","Дичин"
"13","21364","Добревци"
"20","21453","Добри дял"
"04","21796","Дойновци"
"04","21899","Долен Еневец"
"26","22160","Долна Липница"
"06","22232","Долна Оряховица"
"04","22383","Долни Дамяновци"
"13","22455","Долни Марян"
"13","22513","Долни Танчевци"
"14","22890","Долно Шивачево"
"13","22976","Донковци"
"06","23100","Драганово"
"13","23131","Драгановци"
"13","23162","Драганосковци"
"20","23217","Драгижево"
"13","23220","Драгийци"
"13","23265","Драгневци"
"28","23431","Драгомирово"
"13","23710","Дрента"
"13","24027","Дуковци"
"04","24058","Дунавци"
"14","24126","Дуровци"
"14","24548","Дълги припек"
"13","24654","Дърлевци"
"22","24685","Дъскот"
"13","27190","Елена"
"04","27423","Емен"
"31","29091","Железарци"
"13","30721","Зеленик"
"14","30962","Златарица"
"13","32055","Иванивановци"
"04","32127","Ивановци"
"26","32175","Иванча"
"13","32305","Игнатовци"
"13","32593","Илаков рът"
"04","32617","Илевци"
"13","32682","Илиювци"
"04","34076","Йовчевци"
"31","35078","Кавлак"
"14","35273","Калайджии"
"31","35657","Камен"
"13","35729","Каменари"
"13","36052","Кантари"
"04","36107","Къпиново"
"13","36275","Караиванци"
"22","36289","Караисен"
"13","36378","Карандили"
"26","36405","Каранци"
"31","36782","Кесарево"
"04","36837","Килифарево"
"13","36871","Киревци"
"04","37006","Кисьовци"
"04","37160","Кладни дял"
"04","37335","Клъшка река"
"32","37561","Коевци"
"13","37616","Кожлювци"
"20","37664","Козаревец"
"28","37784","Козловец"
"13","37842","Козя река"
"13","37976","Колари"
"13","38337","Константин"
"13","38738","Косевци"
"13","38861","Костел"
"13","39075","Котуци"
"32","39582","Красно Градище"
"13","39880","Крилювци"
"13","40035","Крумчевци"
"06","40172","Крушето"
"04","40779","Куцаровци"
"26","40782","Куцина"
"26","41246","Климентово"
"04","43013","Лагерите"
"13","43061","Лазарци"
"04","43253","Леденик"
"13","43342","Лесиче"
"22","43356","Лесичери"
"31","44046","Лозен"
"31","44567","Любенци"
"20","44793","Лясковец"
"13","46125","Майско"
"04","46532","Малки чифлик"
"04","46855","Малчовци"
"13","47158","Марафелци"
"04","47175","Марговци"
"13","47227","Мариновци"
"13","47425","Марян"
"26","47439","Масларево"
"13","47487","Махалници"
"20","47826","Мерданя"
"13","48057","Мийковци"
"04","48278","Миндя"
"13","48283","Миневци"
"31","48341","Мирово"
"13","48430","Мирчовци"
"22","48550","Михалци"
"04","48636","Мишеморков хан"
"04","48951","Момин сбор"
"28","49028","Морава"
"22","49429","Мусина"
"13","49583","Мъртвината"
"04","51175","Hацовци"
"22","51295","Hедан"
"13","51367","Hедялковци"
"13","51531","Hешевци"
"31","51593","Hиколаево"
"13","51696","Hиколовци"
"13","51706","Hиколчовци"
"04","51740","Hикюп"
"13","51771","Hичовци"
"31","51799","Hова Върбовка"
"14","52057","Hовогорци"
"31","52060","Hово Градище"
"04","52177","Hово село"
"13","52386","Hюшковци"
"26","53014","Обединение"
"14","53165","Овощна"
"28","53196","Овча могила"
"28","53672","Ореш"
"26","53905","Орловец"
"04","54095","Осенарите"
"26","55018","Павел"
"22","55052","Павликени"
"31","55196","Паисий"
"13","55261","Палици"
"13","55442","Папратлива"
"22","55508","Паскалевец"
"22","55573","Патреш"
"13","55693","Пейковци"
"13","56011","Петковци"
"04","56383","Пирамидата"
"06","56472","Писарево"
"04","56602","Плаково"
"04","57114","Пожерник"
"06","57217","Поликраище"
"26","57340","Полски Сеновец"
"26","57354","Полски Тръмбеш"
"04","57666","Поповци"
"13","57738","Попрусевци"
"13","57741","Попска"
"06","57981","Правда"
"04","58459","Присово"
"04","58520","Продановци"
"04","58791","Пушево"
"04","58918","Пчелище"
"06","59094","Първомайци"
"04","59121","Пъровци"
"14","61217","Равново"
"26","61279","Раданово"
"04","61435","Радковци"
"13","61515","Радовци"
"14","61830","Разсоха"
"04","61861","Райковци"
"13","61892","Райновци"
"13","62133","Ралиновци"
"04","62270","Рашевци"
"13","62325","Раювци"
"13","62360","Ребревци"
"14","62431","Резач"
"14","62476","Рекичка"
"04","62517","Ресен"
"14","62877","Родина"
"22","63080","Росица"
"14","63118","Росно"
"04","63416","Русаля"
"04","63464","Русковци"
"13","63495","Руховци"
"04","65200","Самоводене"
"04","65262","Самсиите"
"26","65471","Петко Каравелово"
"13","65632","Светославци"
"28","65766","Свищов"
"04","66010","Сеймените"
"04","66189","Семковци"
"14","67395","Сливовица"
"22","67475","Сломер"
"28","67787","Совата"
"13","68429","Средни колиби"
"14","68494","Средно село"
"22","68708","Стамболово"
"13","69393","Стойчевци"
"13","69540","Стояновци"
"31","69633","Стражица"
"26","69732","Страхилово"
"06","69780","Стрелец"
"13","70216","Султани"
"04","70264","Суха река"
"32","70295","Сухиндол"
"31","70408","Сушица"
"13","70439","Събковци"
"04","70603","Сърненци"
"31","72237","Теменуга"
"04","72312","Терзиите"
"13","72446","Титевци"
"04","72583","Тодоровци"
"13","72607","Тодювци"
"13","72641","Томбето"
"13","72847","Топузи"
"13","73331","Трънковци"
"13","73448","Тумбевци"
"13","73568","Тънки рът"
"13","73634","Търкашени"
"13","75040","Угорялковци"
"04","75229","Ушевци"
"28","77013","Хаджидимитрово"
"13","77178","Харваловци"
"04","77356","Хотница"
"13","77445","Христовци"
"13","77534","Хъневци"
"28","78121","Царевец"
"13","78269","Цвеклювци"
"04","78389","Цепераните"
"04","78428","Церова кория"
"04","78536","Цонковци"
"13","80042","Чавдарци"
"13","80100","Чакали"
"31","80203","Царски извор"
"28","80457","Червена"
"13","80515","Червенковци"
"13","80978","Черни дял"
"14","81339","Чешма"
"14","81428","Чистово"
"14","81668","Чуката"
"04","83123","Шереметя"
"13","83168","Шиливери"
"13","83171","Шилковци"
"04","83418","Шодековци"
"13","83452","Шубеци"
"04","83586","Шемшево"
"13","87326","Яковци"
"04","87360","Ялово"
"06","87453","Янтра"
